competitor_id,lat,lon,type
COMP_001,30.534520884409083,-73.67828662627707,competitor
COMP_002,43.036226928669876,-73.80950088455576,competitor
COMP_003,36.74979569490707,-92.79079726787316,competitor
COMP_004,35.38972105606924,-71.26389401862517,competitor
COMP_005,38.603498279150024,-74.94393987000609,competitor
COMP_006,46.25557783655465,-68.4707462708555,competitor
COMP_007,26.26075948914144,-74.82059448499503,competitor
COMP_008,41.36810319091453,-76.54897279093218,competitor
COMP_009,47.16977114138513,-97.30773164006223,competitor
COMP_010,29.33375104396,-112.49016743770227,competitor
COMP_011,44.94430789904586,-71.26818474854633,competitor
COMP_012,41.450617768987556,-82.36959799968153,competitor
COMP_013,24.361713401828617,-108.37687601228731,competitor
COMP_014,29.790292009053204,-104.8812523574171,competitor
COMP_015,39.146119022397016,-84.52136780042399,competitor
COMP_016,36.56000848728029,-96.80877880713342,competitor
COMP_017,37.198406313171645,-120.19252885106427,competitor
COMP_018,29.798260615170566,-116.65457120100623,competitor
COMP_019,40.875086767715665,-81.00672767277365,competitor
COMP_020,30.660459273419423,-105.61439781957198,competitor
COMP_021,33.73587416196135,-95.04868372427968,competitor
COMP_022,33.22289789700191,-79.76933278304199,competitor
COMP_023,40.80062555299746,-80.68063997134291,competitor
COMP_024,26.256319042080435,-115.14611341365084,competitor
COMP_025,29.13854752600463,-119.19476200045692,competitor
COMP_026,29.012426767126698,-90.12201471505969,competitor
COMP_027,26.710616852892752,-81.24366043805686,competitor
COMP_028,29.189874470911477,-116.20664460227079,competitor
COMP_029,39.176506698083855,-103.05463804769079,competitor
COMP_030,42.3042042718547,-73.6535982379092,competitor
COMP_031,40.50758617422807,-69.29083464794107,competitor
COMP_032,35.879703449522054,-98.20988410396862,competitor
COMP_033,25.310864277401592,-120.30855989218085,competitor
COMP_034,47.97517526716938,-109.79590908405973,competitor
COMP_035,28.201911520937298,-111.25477470138355,competitor
COMP_036,40.71053426014177,-110.90114048807764,competitor
COMP_037,46.82226538705278,-95.86097938262425,competitor
COMP_038,41.44442739952471,-90.5896865501973,competitor
COMP_039,29.451241004723755,-117.77193426788382,competitor
COMP_040,31.894907469100577,-72.52799561482827,competitor
COMP_041,24.75514667527738,-88.42154442641421,competitor
COMP_042,39.31895602105284,-89.7621479141877,competitor
COMP_043,39.324824522039165,-66.75053909532724,competitor
COMP_044,42.13751453440948,-87.93950532790561,competitor
COMP_045,24.274907231890534,-70.19141019123009,competitor
COMP_046,44.44603222061167,-108.11083863077229,competitor
COMP_047,42.4677739350077,-110.83236006955664,competitor
COMP_048,27.52216523810222,-94.52539747735727,competitor
COMP_049,32.690665231724466,-94.9920720894367,competitor
COMP_050,39.96312232260542,-111.63746468045008,competitor
COMP_051,36.394921873508196,-83.7203162429031,competitor
COMP_052,26.87735659753156,-123.2516046650351,competitor
COMP_053,26.183634378414748,-84.2528021195823,competitor
COMP_054,43.53640747770229,-98.02650471872529,competitor
COMP_055,27.899177950445246,-84.34855686014033,competitor
COMP_056,28.30231684826109,-96.85224279215038,competitor
COMP_057,44.77307813391894,-67.337306809803,competitor
COMP_058,39.30349086408043,-105.25358788491604,competitor
COMP_059,39.11789020384931,-67.0281967168591,competitor
COMP_060,35.983644284083496,-121.16653739374046,competitor
COMP_061,38.224875360057275,-84.65811428930417,competitor
COMP_062,39.044242259295274,-98.20106679969018,competitor
COMP_063,48.19565587108951,-76.49388009374769,competitor
COMP_064,29.57433268668948,-78.41265188669712,competitor
COMP_065,29.364060492511477,-77.7875992103197,competitor
COMP_066,25.43046219263289,-119.41042264115134,competitor
COMP_067,40.45496997023306,-76.48042370818362,competitor
COMP_068,37.726054520556545,-112.37163071081811,competitor
COMP_069,26.780980096165994,-123.48486443231695,competitor
COMP_070,33.11347337795468,-112.15341553861973,competitor
COMP_071,28.466580133280097,-96.72217882270986,competitor
COMP_072,32.28704351002154,-81.21542976522551,competitor
COMP_073,47.781604234865256,-112.10068363086162,competitor
COMP_074,41.08297097201322,-118.33255466267399,competitor
COMP_075,24.18922751987855,-86.88793195358741,competitor
COMP_076,30.31270184460309,-66.95001585475896,competitor
COMP_077,24.259038676944474,-89.54865217694854,competitor
COMP_078,41.871712469217016,-84.22761551671812,competitor
COMP_079,35.73554505138696,-91.89112081896121,competitor
COMP_080,48.850467295359735,-78.84144179051827,competitor
COMP_081,42.33958152556646,-67.42753920764275,competitor
COMP_082,36.94782356769705,-92.89637546515308,competitor
COMP_083,44.117635705203384,-100.40935980717917,competitor
COMP_084,41.6200912808519,-74.23975939155254,competitor
COMP_085,30.09440444089968,-67.7860277181606,competitor
COMP_086,37.25645687068791,-117.37828318869549,competitor
COMP_087,37.899968120851774,-90.8879130370412,competitor
COMP_088,35.280792465195084,-78.24486043978615,competitor
COMP_089,28.47981557138405,-93.53297509577294,competitor
COMP_090,29.584226291447173,-100.85737887661602,competitor
COMP_091,31.02618502389904,-86.34144055301019,competitor
COMP_092,24.256378734454092,-109.06244242371245,competitor
COMP_093,46.92359730423773,-104.4011091666362,competitor
COMP_094,41.15239978958697,-66.45567712600067,competitor
COMP_095,41.24043289461177,-87.44854527190478,competitor
COMP_096,38.30826534522804,-73.4972893996466,competitor
COMP_097,41.23277020402648,-77.34165773080854,competitor
COMP_098,48.54656374684091,-86.51591929075258,competitor
COMP_099,33.629008440862336,-75.39698413493238,competitor
COMP_100,41.813139671914094,-108.05764876941932,competitor
COMP_101,32.988225109438204,-87.4101295200744,competitor
COMP_102,45.35721996867065,-90.15439411808512,competitor
COMP_103,45.450715172250874,-88.27724355319265,competitor
COMP_104,46.55666063558712,-115.05071629834026,competitor
COMP_105,24.13658310604696,-108.64266064011396,competitor
COMP_106,31.45478612490237,-108.08715919124019,competitor
COMP_107,27.3481087800399,-89.48517640820697,competitor
COMP_108,35.349654947253924,-67.61973405405263,competitor
COMP_109,36.38624106698244,-68.71001448025325,competitor
COMP_110,30.397601070741388,-111.5958163736079,competitor
COMP_111,42.08616230112676,-107.01413065906041,competitor
COMP_112,30.744242929724233,-122.87234835552914,competitor
COMP_113,45.34728438208396,-101.46988019829575,competitor
COMP_114,28.44148420354467,-75.75422682085855,competitor
COMP_115,33.18088236913209,-70.97064739981774,competitor
COMP_116,39.55594396060763,-111.04670770549133,competitor
COMP_117,39.13337676158133,-109.31812606415849,competitor
COMP_118,25.950727800128586,-111.96986082598353,competitor
COMP_119,45.156465304773704,-104.34388951309985,competitor
COMP_120,38.95162333574438,-77.51919548315786,competitor
