point_id,lat,lon,population,demand_score
0eadb1c8-c7f4-49ca-8913-b7da3518d2f1,33.36350297118406,-82.50419248710367,1,0.9
02d6f116-d3c7-47cd-afd1-7becda2ec7eb,47.767857660247905,-84.45030273962547,0,0.0
0c3691c3-bf30-4304-8f32-16b198953881,42.29984854528513,-119.3505022788619,628,569.0
fa99257f-ed0b-451c-a9ad-42997ffac0f6,38.96646210492592,-70.5682281105578,6,5.9
ebebf1e5-3d94-414c-987e-05d4e42f606f,27.900466011060914,-91.46014007274763,734,813.0
a1b1304c-9f04-4dcc-acbc-683752a4aa8b,27.899863008405067,-103.54019425299464,50,55.2
23f8abfe-2330-4316-bde9-b704d5c5cec7,25.452090304204987,-80.36422357377691,128,128.8
1b07aa5a-d4ff-479f-9458-d9d0ddf7cd02,45.654403644373375,-109.81543795430359,13,15.2
d3d60d63-a045-49fd-851d-e9404e84faf3,39.02787529358022,-84.0829196142671,148,134.0
f507d3b4-ff74-4fe5-a67d-7affff586dd5,41.70181444490114,-122.65703875323742,96,86.0
48426124-7d23-49fe-afc9-379813e516d9,24.514612357395063,-75.47492578105295,9,9.4
ac2256e8-6045-4643-8155-29cada20b1b0,48.247746304049855,-98.5579200257422,82,86.0
e2b68b88-de73-440e-8d8f-8e8b0e7b5db6,44.81106602001054,-87.43511805288144,99,81.0
8d0bbd03-d3e2-4662-bf70-8d04bade83ca,29.308477766956905,-111.94696863140567,919,958.6
c537a7ed-ed92-4745-8bd6-9ab0f0e50641,28.545624180177516,-85.05265095315157,47,44.6
1e7a2f46-83c6-45b7-90b1-89cc4ded09ba,28.585112746335845,-79.43782372229668,157,172.5
c346cac7-1a9c-4e5f-83e7-706f1c998781,31.60605607398844,-97.08042197382048,873,980.6
bc870276-6872-4ad5-8f95-44b229ab75c6,37.11891079080595,-88.55411148035414,314,320.6
c6c33bf2-9b08-4038-8247-f13714819e71,34.7986254660529,-98.07677049447848,1003,803.1
ef85bc5f-8ae0-42cd-b45f-ec9504e552e5,31.28072850495105,-72.24860921378712,690,727.6
7466af4c-3473-405f-96a0-95fa6028db96,39.296322368059485,-95.62571834965517,134,147.3
c95fc0cf-5f3c-4719-aea9-0c832dc5aac7,27.487346516301045,-75.33328616729969,238,214.1
be42f370-9633-45a1-ada5-3c6f0d531912,31.303616213380455,-77.72022856205533,23,22.7
49902ee8-417a-42d1-926d-fe32e666e01d,33.15904608234229,-100.78021554044696,116,137.6
8c7744d7-43ac-4e61-b8e6-56c9e828ecbd,35.4017496054259,-111.42501498040897,331,304.3
c3802d76-9b19-4569-b2fa-3ab65d19030b,43.62939903482534,-101.04115417897351,141,125.4
