store_id,lat,lon,type
STORE_001,41.917712556475976,-113.54626952171058,own
STORE_002,46.905564800744415,-83.80266806493381,own
STORE_003,47.02061986126763,-74.52370610600869,own
STORE_004,41.600725067866065,-68.40635791457865,own
STORE_005,39.9225548203134,-97.0193965913841,own
STORE_006,37.28815188812517,-67.70456174405507,own
STORE_007,28.579941704553214,-100.71428449578096,own
STORE_008,27.09074131513546,-112.13044565921123,own
STORE_009,36.142775169734506,-94.67861066800121,own
STORE_010,27.986103905186482,-86.66042858562193,own
STORE_011,38.4249981417334,-97.98016435305331,own
STORE_012,40.142568257530456,-91.54862580595929,own
STORE_013,37.14038993800102,-100.43185792409588,own
STORE_014,24.91066781281534,-94.03904471274626,own
STORE_015,25.443198970058305,-68.79685535515287,own
STORE_016,26.833529617037136,-95.50996200035641,own
STORE_017,27.841145124708476,-110.06240166425364,own
STORE_018,48.747065344233334,-80.23394933075832,own
STORE_019,32.612375421578065,-105.08251699088859,own
STORE_020,31.299334341032154,-76.84377692153794,own
STORE_021,25.306665891605725,-121.64632264995078,own
STORE_022,39.88300976713991,-105.40149935058722,own
STORE_023,40.30476962828202,-119.43276541262227,own
STORE_024,28.386217239466617,-119.96624836949594,own
STORE_025,46.98103852311533,-86.15501600882621,own
STORE_026,44.012338664878186,-102.26524672013716,own
STORE_027,29.7579829201877,-73.58274242287837,own
STORE_028,36.14624327291344,-94.53209686546178,own
STORE_029,35.45977140497125,-107.57474995083533,own
STORE_030,32.71301110855802,-82.4675556102305,own
STORE_031,44.44086782064033,-88.18300929644371,own
STORE_032,26.731612140528775,-77.823917371077,own
STORE_033,34.38285599569482,-87.02829169582878,own
STORE_034,34.70077826373043,-115.14620839116371,own
STORE_035,35.718140115354494,-85.45170777764311,own
STORE_036,45.533749777465715,-101.8985973406672,own
STORE_037,29.45417175503753,-97.67456121480348,own
STORE_038,26.573079337806817,-70.62769003149666,own
STORE_039,39.445211570527704,-103.76212126843292,own
STORE_040,28.34586187445118,-88.8944105635405,own
STORE_041,25.873302146365493,-103.55457772867787,own
STORE_042,34.666230514276336,-119.41107836389028,own
STORE_043,29.491160771453522,-98.24200481915027,own
STORE_044,33.03041547169959,-89.77337123688054,own
STORE_045,30.492777002561436,-100.95730576978167,own
STORE_046,26.315911568085394,-101.95069510398713,own
STORE_047,38.00868007310504,-76.59766768023059,own
STORE_048,24.675460450987142,-123.24857483492126,own
STORE_049,48.15938369985999,-107.56046159233293,own
STORE_050,32.533263043374156,-77.10632134274451,own
STORE_051,41.378937762245094,-70.68872123194134,own
STORE_052,44.25907181368625,-100.67432443539113,own
STORE_053,30.977619888488878,-72.56113965143149,own
STORE_054,42.7184677277517,-113.26312279462307,own
STORE_055,44.81052138561774,-111.93580299624982,own
STORE_056,30.032930845290338,-75.0747087814966,own
STORE_057,48.81236692240182,-71.70779326090353,own
STORE_058,24.517217071052233,-111.85445969020262,own
STORE_059,29.425012005888526,-121.49987279185194,own
STORE_060,43.500518906924825,-119.67087591373803,own
