month,category,sales,margin,satisfaction_score
1,Electronics,95885.74199766193,33.20286809050512,4.14000293467214
1,Apparel,64168.608225295735,28.706445397502126,3.7879176698201125
1,Home & Garden,70504.18790942946,17.56005725545795,4.984983746591766
1,Sports,138091.0518849421,44.598121274568115,3.990196971078358
1,Beauty,89241.89997264344,28.030524501250113,4.889021290368545
1,Food & Beverage,151450.70225382425,19.405497777092382,3.8782140671224687
2,Electronics,41158.21332371238,30.793275934371646,4.643461484923207
2,Apparel,125409.96022355826,30.71216338521822,4.159724426438864
2,Home & Garden,108034.39050817535,28.539360088231703,3.374312412776491
2,Sports,107887.57825910051,30.542244882188307,3.311337381912729
2,Beauty,175435.2287365369,40.289721058088254,4.696002499712504
2,Food & Beverage,152251.63176352944,14.470421512190851,4.805081711483311
3,Electronics,45232.7544040276,35.7795032799325,4.694890264196461
3,Apparel,150744.56270444862,35.0071272116491,3.736666978569203
3,Home & Garden,84014.5614416207,25.740035710844552,3.3723322735791066
3,Sports,140955.41467433088,28.321196800198763,3.9133069031049956
3,Beauty,108674.71592000297,18.934935564003204,5.0
3,Food & Beverage,101922.86837731968,33.56532506878338,4.81501960224744
4,Electronics,194809.89496933226,39.5649325567679,4.595381611959024
4,Apparel,81960.3318883991,26.385146622858404,4.802470565529929
4,Home & Garden,116943.56017329001,32.119615463181745,3.6830631680275934
4,Sports,140405.8745354026,27.64931175419448,4.507151786073101
4,Beauty,70466.86181093943,33.10700685894421,3.8913470635598233
4,Food & Beverage,84429.18387510278,26.156241774971992,4.416662289976299
5,Electronics,93245.37472070882,12.748185598188337,5.0
5,Apparel,100312.23875786623,18.89861604181586,4.471220820426595
5,Home & Garden,126216.72249886589,30.302412412625717,4.014813389165367
5,Sports,148164.3486838864,12.291835811469252,4.700958136332063
5,Beauty,61988.67815502214,29.184781983582727,4.555116958388852
5,Food & Beverage,116935.28499106893,27.67149526828387,4.052965284147446
6,Electronics,120795.35144672655,39.485263790105506,4.1711200141814535
6,Apparel,144121.10896212244,26.759178756724424,3.259794137133911
6,Home & Garden,106163.42304102315,44.733598623792034,3.875005512992217
6,Sports,115444.82135440277,28.460503844332433,4.136150057419512
6,Beauty,92394.81612410428,20.912928437438186,4.255718811843971
6,Food & Beverage,155149.65730185385,17.947121219604757,4.337623704553724
7,Electronics,65556.11409218202,21.450318347281115,4.228134944440068
7,Apparel,185925.04271566623,24.651154875881755,4.457576935538253
7,Home & Garden,131181.90138833047,26.59641730066938,3.8543018275005414
7,Sports,49264.166360199844,31.137084118369554,4.3003412803056476
7,Beauty,221440.39885057055,15.185272733889557,3.937710759365211
7,Food & Beverage,153539.0115991402,18.828203998912073,3.952523968796863
8,Electronics,120239.14210257537,24.17035034922476,3.6496267851595237
8,Apparel,79607.5736896709,26.066256620113265,4.330561114902863
8,Home & Garden,140934.5258991873,21.418334414654062,4.632954426696965
8,Sports,169387.36957450083,27.318517006693625,4.159743469839701
8,Beauty,109379.7849019943,22.798426827278973,3.2064856012233944
8,Food & Beverage,147201.77592289017,24.476555839794266,3.5294149868124483
9,Electronics,200810.07606591078,21.755769537622704,4.0159140705271374
9,Apparel,128210.5507702566,29.34330837974327,3.5861105041761214
9,Home & Garden,88357.99750427934,29.95437270517191,4.056012688775333
9,Sports,177319.13193412422,24.8597285292364,4.710197575774562
9,Beauty,171719.16691999303,31.18107261759504,4.589590613679183
9,Food & Beverage,92080.56352955259,38.43188468557737,4.520441298558706
10,Electronics,57735.52536952697,30.93351400514456,4.359026098617144
10,Apparel,80219.98907219373,23.475929104418935,4.097789162662516
10,Home & Garden,169252.43016445864,21.130871862661728,3.9048700932399285
10,Sports,146789.18513549637,13.294931468968292,4.55783649020029
10,Beauty,68902.4202276633,30.132077192168,3.861637865870492
10,Food & Beverage,79323.54908383198,40.818893221804956,4.038490365067253
11,Electronics,178501.56683833324,36.355825812403125,4.267492583469112
11,Apparel,84913.38654608617,26.853297725192856,3.212167315542488
11,Home & Garden,142890.59227918566,24.293059235331604,4.586973963018006
11,Sports,164049.09934475194,32.66537171554327,3.5705829692004083
11,Beauty,64466.93127403537,30.201416636522712,3.0002235237476738
11,Food & Beverage,95067.56368296273,38.99462954523169,4.647621841637894
12,Electronics,127080.6597016899,30.666476736930292,3.306539231684008
12,Apparel,149738.53729151996,16.733027955344724,3.162977196132732
12,Home & Garden,101727.66796675939,25.835069573496476,3.9430227785900827
12,Sports,114300.76830104465,24.62796392436452,5.0
12,Beauty,184426.8183903333,43.18997838010421,3.8727587212282364
12,Food & Beverage,130131.9748648404,28.356411271783383,3.6305185067528534
